127.0.0.1 - - [24/Dec/2020:17:52:36 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 18457
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:38 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/js/popper.js HTTP/1.1" 200 18457
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Dec/2020:17:52:43 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Dec/2020:18:02:03 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [24/Dec/2020:18:07:49 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [24/Dec/2020:18:13:29 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 4941
0:0:0:0:0:0:0:1 - - [24/Dec/2020:18:20:02 +0900] "GET /Lecture_Evaluation/indext.jsp HTTP/1.1" 200 6592
